0;17
0;20
1;0
1;1
1;2
2;2
2;3
2;4
3;7
3;8
5;13
5;14
5;30
5;31
6;4
6;32
6;33
6;34
7;1
7;2
7;3
7;4
7;19
7;20
7;21
7;22
7;35
7;36
8;9
8;10
8;22
8;23
9;25
9;26
9;27
9;28
10;28
10;29
10;30
11;31
11;32
11;33
12;35
13;35
13;36
13;37
14;38
14;39
15;8
15;9
15;39
16;0
16;3
16;4
16;5
16;6
16;7
16;8
16;9
16;10
16;29
16;30
16;31
16;32
16;33
17;10
17;11
17;27
17;28
17;29
18;10
19;2
19;5
19;10
19;14
19;15
19;16
19;17
19;18
19;19
19;23
19;24
19;25
19;26
19;27
19;28
19;29
19;30
19;31
20;1
20;2
20;5
20;8
21;0
21;1
21;5
21;12
21;14
21;34
21;35
21;36
21;37
21;38
21;39
22;0
22;6
22;14
22;15
22;16
22;17
22;18
22;19
22;20
22;21
22;22
22;23
22;24
22;25
22;26
22;27
22;39
23;0
23;27
23;28
23;29
23;30
24;12
24;13
25;0
25;8
25;9
25;15
26;0
26;16
26;21
26;22
26;23
26;24
26;25
26;26
26;27
26;28
26;29
26;30
26;31
26;32
26;33
26;34
26;35
27;2
27;3
27;7
27;8
27;12
27;13
27;14
27;16
27;17
27;18
27;19
27;20
27;21
27;22
28;0
28;3
28;13
29;0
29;8
29;13
30;0
30;1
30;2
30;12
30;13
31;2
31;3
31;10
31;12
31;15
31;17
31;21
31;22
31;23
31;28
31;29
31;35
31;36
32;0
32;9
32;22
32;23
32;28
32;35
32;36
33;0
33;8
33;22
33;23
33;28
33;29
33;35
33;36
34;0
34;8
34;17
34;18
34;19
34;20
34;21
34;22
34;23
34;24
34;25
34;26
34;27
34;28
34;29
34;35
34;36
35;0
35;35
35;36
36;8
36;35
36;36
37;8
37;9
37;10
37;11
37;12
37;13
37;14
37;15
37;16
37;17
37;18
37;19
37;20
37;21
37;22
37;23
37;29
37;31
37;32
37;33
37;34
37;35
37;36
39;3
39;5
39;6
39;8
39;11
39;12
39;16
39;17
39;18
39;19
39;23
39;24
39;25
39;26
39;27
39;28
39;29
39;30
39;31
39;32
39;35
39;36
39;37
